product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw
4567665377352,natco-meat-masala-mangal-100g,4567665377352,100g,100,g,/uploads/natco_meat-masala-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1360
4567665442888,natco-chat-masala-mangal-100g,4567665442888,100g,100,g,/uploads/natco_chat-masala-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1210
4567665475656,natco-chana-masala-mangal-100g,4567665475656,100g,100,g,/uploads/natco_chana-masala-mangal-100g.png,A,,,See product packaging for full ingredients list,,India,Default,M1100
4567665508424,natco-anardana-powder-mangal-100g,4567665508424,100g,100,g,/uploads/natco_anardana-powder-mangal-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,M1000
4567665573960,natco-soya-beans-2kg,GEN_4567665573960_2kg,2kg,2,kg,/uploads/natco_soya-beans-2kg.jpg,A,,soya,See product packaging for full ingredients list,,India,Default,L9550
4567665573960,natco-soya-beans-500g,GEN_4567665573960_500g,500g,500,g,/uploads/natco_soya-beans-500g.jpg,A,,soya,See product packaging for full ingredients list,,India,Default,L9560
4567666524232,natco-red-lentils-polished-2kg,GEN_4567666524232_2kg,2kg,2,kg,/uploads/natco_red-lentils-polished-2kg.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,L6150
4567666524232,natco-red-lentils-polished-1kg,GEN_4567666524232_1kg,1kg,1,kg,/uploads/natco_red-lentils-polished-2kg.jpg,B,,sesame,Red Lentils Polished 1kg,,India,Default,L6148
4567666917448,natco-mung-dal-yellow-1kg,GEN_4567666917448_1kg,1kg,1,kg,/uploads/natco_mung-dal-yellow-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L4368
4567666917448,natco-mung-dal-yellow-2kg,GEN_4567666917448_2kg,2kg,2,kg,/uploads/natco_mung-dal-yellow-1kg.jpg,B,,,Mung Dal Yellow 2kg,,India,Default,L4370
4567666982984,natco-mung-split-2kg,GEN_4567666982984_2kg,2kg,2,kg,/uploads/natco_mung-split-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L4250
4567666982984,natco-mung-split-500g,GEN_4567666982984_500g,500g,500,g,/uploads/natco_mung-split-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,L4260
4567667081288,natco-mung-beans-1kg,GEN_4567667081288_1kg,1kg,1,kg,/uploads/natco_mung-beans-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L4157
4567667081288,natco-mung-beans-2kg,GEN_4567667081288_2kg,2kg,2,kg,/uploads/natco_mung-beans-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L4160
4567667212360,natco-green-lentils-1kg,GEN_4567667212360_1kg,1kg,1,kg,/uploads/natco_green-lentils-1kg.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,L3548
4567667212360,natco-green-lentils-2kg,GEN_4567667212360_2kg,2kg,2,kg,/uploads/natco_green-lentils-2kg.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,L3550
4567667310664,natco-chanadal-polished-2kg,GEN_4567667310664_2kg,2kg,2,kg,/uploads/natco_chanadal-polished-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L2160
4567667310664,natco-chanadal-polished-1kg,GEN_4567667310664_1kg,1kg,1,kg,/uploads/natco_chanadal-polished-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L2178
4567667376200,natco-brown-lentils-2kg,GEN_4567667376200_2kg,2kg,2,kg,/uploads/natco_brown-lentils-2kg.png,A,,sesame,See product packaging for full ingredients list,,India,Default,L1550
4567667376200,natco-brown-lentils-500g,GEN_4567667376200_500g,500g,500,g,/uploads/natco_brown-lentils-500g.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,L1560
4567667474504,natco-butter-beans-2kg,GEN_4567667474504_2kg,2kg,2,kg,/uploads/natco_butter-beans-2kg.png,A,,milk,See product packaging for full ingredients list,,India,Default,L1350
4567667474504,natco-butter-beans-500g,GEN_4567667474504_500g,500g,500,g,/uploads/natco_butter-beans-500g.png,A,,milk,See product packaging for full ingredients list,,India,Default,L1360
4567667572808,natco-black-eye-beans-2kg,GEN_4567667572808_2kg,2kg,2,kg,/uploads/natco_black-eye-beans-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L1150
4567667572808,natco-black-eye-beans-500g,GEN_4567667572808_500g,500g,500,g,/uploads/natco_black-eye-beans-500g.png,A,,,See product packaging for full ingredients list,,India,Default,L1160
4567667638344,natco-alubia-beans-2kg,GEN_4567667638344_2kg,2kg,2,kg,/uploads/natco_alubia-beans-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,L1010
4567667638344,natco-alubia-beans-500g,GEN_4567667638344_500g,500g,500,g,/uploads/natco_alubia-beans-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,L1020
4567667671112,natco-coconut-water-330ml,GEN_4567667671112_330ml,330ml,330,ml,/uploads/natco_coconut-water-330ml.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,J3172
4567667671112,natco-coconut-water-1l,GEN_4567667671112_1l,1l,1,l,/uploads/natco_coconut-water-1l.png,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,J3170
4567667769416,natco-rose-syrup-725ml,4567667769416,725ml,725,ml,/uploads/natco_rose-syrup-725ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,J3003
4567667834952,natco-dried-tarragon-25g,4567667834952,25g,25,g,/uploads/natco_dried-tarragon-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H6522
4567667867720,natco-sage-jar-25g,4567667867720,25g,25,g,/uploads/natco_sage-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H6022
4567667933256,natco-parsley-jar-25g,4567667933256,25g,25,g,/uploads/natco_parsley-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H5022
4567667966024,natco-oregano-jar-25g,4567667966024,25g,25,g,/uploads/natco_oregano-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H4522
4567668064328,natco-mixed-herbs-jar-25g,4567668064328,25g,25,g,/uploads/natco_mixed-herbs-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H3722
4567668097096,natco-mint-jar-30g,4567668097096,30g,30,g,/uploads/natco_mint-jar-30g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H3626
4567668162632,natco-marjoram-jar-20g,4567668162632,20g,20,g,/uploads/natco_marjoram-jar-20g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H3524
4567668195400,natco-coriander-leaves-jar-25g,4567668195400,25g,25,g,/uploads/natco_coriander-leaves-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H2122
4567668260936,natco-basil-jar-25g,4567668260936,25g,25,g,/uploads/natco_basil-jar-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,H1022
4567668326472,natco-milk-powder-750g,GEN_4567668326472_750g,750g,750,g,/uploads/natco_milk-powder-750g.jpg,A,,milk,See product packaging for full ingredients list,,India,Default,G1050
4567668326472,natco-milk-powder-300g,GEN_4567668326472_300g,300g,300,g,/uploads/natco_milk-powder-300g.png,A,,milk,See product packaging for full ingredients list,,India,Default,G1060
4567668523080,natco-ragi-flour-900g,4567668523080,900g,900,g,/uploads/natco_ragi-flour-900g.jpg,A,,,See product packaging for full ingredients list,,India,Default,F7120
4567668555848,natco-millet-bajri-flour-900g,4567668555848,900g,900,g,/uploads/natco_millet-bajri-flour-900g.jpg,A,,,See product packaging for full ingredients list,,India,Default,F7115
4567668588616,natco-couscous-500g,4567668588616,500g,500,g,/uploads/natco_couscous-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,F7110
4567668621384,natco-semolina-extra-coarse-15kg,4567668621384,1.5kg,1.5,kg,/uploads/natco_semolina-extra-coarse-15kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F6350
4567668719688,natco-semolina-coarse-15kg,GEN_4567668719688_1.5kg,1.5kg,1.5,kg,/uploads/natco_semolina-coarse-15kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F6250
4567668719688,natco-semolina-coarse-500g,GEN_4567668719688_500g,500g,500,g,/uploads/natco_semolina-coarse-500g.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F6260
4567668817992,natco-semolina-fine-15kg,GEN_4567668817992_1.5kg,1.5kg,1.5,kg,/uploads/natco_semolina-fine-15kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F6150
4567668817992,natco-semolina-fine-500g,GEN_4567668817992_500g,500g,500,g,/uploads/natco_semolina-fine-500g.png,A,,gluten,See product packaging for full ingredients list,,India,Default,F6160
4567668850760,natco-rice-flour-500g,4567668850760,500g,500,g,/uploads/natco_rice-flour-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,F5160
4567668981832,natco-ground-rice-15kg,GEN_4567668981832_1.5kg,1.5kg,1.5,kg,/uploads/natco_ground-rice-15kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,F4150
4567668981832,natco-ground-rice-500g,GEN_4567668981832_500g,500g,500,g,/uploads/natco_ground-rice-500g.png,A,,,See product packaging for full ingredients list,,India,Default,F4160
4567669047368,natco-gram-flour-papa-brand-2kg,4567669047368,2kg,2,kg,/uploads/natco_gram-flour-papa-brand-2kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F3353
4567669309512,natco-gram-flour-superfine-2kg,GEN_4567669309512_2kg,2kg,2,kg,/uploads/natco_gram-flour-superfine-2kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F3253
4567669309512,natco-gram-flour-superfine-1kg,GEN_4567669309512_1kg,1kg,1,kg,/uploads/natco_gram-flour-superfine-1kg.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F3263
4567669309512,natco-gram-flour-superfine-500g,GEN_4567669309512_500g,500g,500,g,/uploads/natco_gram-flour-superfine-500g.jpg,A,,gluten,See product packaging for full ingredients list,,India,Default,F3273
4567669342280,natco-white-maize-meal-15kg,4567669342280,1.5kg,1.5,kg,/uploads/natco_white-maize-meal-15kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,F2320
4567669506120,natco-cornmeal-medium-15kg,GEN_4567669506120_1.5kg,1.5kg,1.5,kg,/uploads/natco_cornmeal-medium-15kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,F2250
